epoch,train_loss,precision,recall,f1,iou,oa,lr
1,0.635736,0.297545,0.637275,0.405678,0.254452,0.856808,1.00e-03
2,0.468698,0.255344,0.700020,0.374194,0.230159,0.820442,1.00e-03
3,0.451147,0.283416,0.673180,0.398894,0.249136,0.844412,1.00e-03
4,0.432983,0.280394,0.686061,0.398088,0.248508,0.840901,1.00e-03
5,0.459214,0.292917,0.665119,0.406716,0.255269,0.851194,1.00e-03
6,0.450936,0.299006,0.651447,0.409882,0.257768,0.856150,1.00e-03
7,0.456258,0.258399,0.697817,0.377143,0.232395,0.823244,1.00e-03
8,0.425430,0.299056,0.669070,0.413354,0.260521,0.854362,1.00e-03
9,0.445148,0.310739,0.660917,0.422727,0.268012,0.861574,1.00e-03
10,0.443444,0.302795,0.684991,0.419953,0.265785,0.854890,1.00e-03
11,0.437576,0.277886,0.714962,0.400218,0.250171,0.835665,1.00e-03
12,0.419542,0.279317,0.718400,0.402241,0.251754,0.836260,1.00e-03
13,0.433209,0.304094,0.702427,0.424440,0.269390,0.853908,1.00e-03
14,0.429608,0.309572,0.670817,0.423640,0.268746,0.860025,1.00e-03
15,0.435237,0.306643,0.697240,0.425953,0.270610,0.855882,5.00e-04
16,0.418808,0.285239,0.729125,0.410060,0.257909,0.839116,5.00e-04
17,0.417759,0.326873,0.701210,0.445891,0.286911,0.866351,5.00e-04
18,0.411966,0.300580,0.736210,0.426875,0.271355,0.848399,5.00e-04
19,0.411192,0.322729,0.696143,0.441008,0.282881,0.864666,5.00e-04
20,0.424812,0.306937,0.704243,0.427536,0.271889,0.855374,5.00e-04
21,0.403742,0.357770,0.664341,0.465079,0.302999,0.882806,5.00e-04
22,0.414218,0.303303,0.715663,0.426045,0.270684,0.852129,5.00e-04
23,0.423588,0.313150,0.704971,0.433665,0.276866,0.858798,5.00e-04
24,0.416433,0.276570,0.728143,0.400876,0.250684,0.833093,5.00e-04
25,0.426288,0.321207,0.691856,0.438727,0.281006,0.864248,5.00e-04
26,0.413005,0.338549,0.675917,0.451136,0.291269,0.873875,5.00e-04
27,0.433029,0.296833,0.716505,0.419765,0.265635,0.848097,5.00e-04
28,0.405187,0.336198,0.678549,0.449623,0.290009,0.872608,5.00e-04
29,0.396607,0.374229,0.648610,0.474618,0.311147,0.889880,5.00e-04
30,0.420552,0.361800,0.665374,0.468728,0.306103,0.884332,2.50e-04
31,0.381516,0.326577,0.717822,0.448917,0.289421,0.864849,2.50e-04
32,0.405643,0.329639,0.724314,0.453079,0.292891,0.865900,2.50e-04
33,0.397367,0.323796,0.712075,0.445165,0.286311,0.863881,2.50e-04
34,0.400881,0.318375,0.718392,0.441214,0.283050,0.860457,2.50e-04
35,0.389300,0.348145,0.691138,0.463043,0.301272,0.877077,2.50e-04
36,0.405108,0.320798,0.722533,0.444321,0.285613,0.861409,2.50e-04
37,0.396023,0.320022,0.701896,0.439609,0.281730,0.862771,2.50e-04
38,0.398878,0.350328,0.685015,0.463575,0.301723,0.878427,2.50e-04
39,0.376846,0.362001,0.683042,0.473209,0.309937,0.883377,2.50e-04
40,0.399956,0.324725,0.714361,0.446490,0.287407,0.864174,2.50e-04
41,0.405280,0.322900,0.723525,0.446522,0.287434,0.862450,2.50e-04
42,0.372026,0.323531,0.718243,0.446112,0.287094,0.863227,2.50e-04
43,0.401019,0.347996,0.705114,0.466005,0.303785,0.876076,2.50e-04
44,0.391801,0.345350,0.703552,0.463288,0.301480,0.874992,2.50e-04
45,0.376023,0.325494,0.718797,0.448082,0.288728,0.864208,1.25e-04
46,0.395467,0.324349,0.715659,0.446387,0.287322,0.863871,1.25e-04
47,0.376495,0.330943,0.712680,0.451995,0.291986,0.867476,1.25e-04
48,0.398238,0.333115,0.711526,0.453783,0.293479,0.868641,1.25e-04
49,0.378022,0.344712,0.704998,0.463026,0.301258,0.874603,1.25e-04
50,0.433093,0.301891,0.747542,0.430092,0.273960,0.848075,1.25e-04
